id,gebjahr,berufstaetig,arbeitsstd,arztbes,rauch,gro,gew,schulabschluss,schulabschluss_v,schulabschluss_m,hoe_abschluss,hoe_abschluss_v,hoe_abschluss_m,netto,zufr,alter,frau
2042,1994,HAUPTBERUFL.GANZTAGS,40,0,ja,164,,FACHHOCHSCHULREIFE,,,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,1000,10,20,weiblich
2837,1994,NEBENHER BERUFSTAE.,,0,nein,167,95,HOCHSCHULREIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,FACHHOCHSCHULABSCHL.,"GEWERBL.,LANDW.LEHRE",400,8,20,männlich
2354,1950,NICHT ERWERBSTAETIG,,1,ja,164,83,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",700,3,64,weiblich
405,1965,HAUPTBERUFL.GANZTAGS,60,6,ja,180,86,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",KAUFMAENNISCHE LEHRE,KEIN ABSCHLUSS,2500,10,49,männlich
2288,1960,NICHT ERWERBSTAETIG,,0,nein,188,95,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,3000,8,54,männlich
930,1957,HAUPTBERUFL.GANZTAGS,55,2,nein,172,90,HOCHSCHULREIFE,OHNE ABSCHLUSS,OHNE ABSCHLUSS,HOCHSCHULABSCHLUSS,KEIN ABSCHLUSS,KEIN ABSCHLUSS,1300,10,57,weiblich
2860,1972,HAUPTBERUFL.GANZTAGS,40,0,ja,183,105,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",,8,42,männlich
2383,1961,NICHT ERWERBSTAETIG,,2,ja,163,65,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",,1040,5,53,weiblich
3209,1987,HAUPTBERUFL.HALBTAGS,20,0,nein,176,62,"VOLKS-,HAUPTSCHULE",,,LEHRE,KAUFMAENNISCHE LEHRE,,560,8,27,weiblich
1441,1964,NICHT ERWERBSTAETIG,,2,ja,156,,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,,10,50,weiblich
2200,1986,NICHT ERWERBSTAETIG,,3,nein,172,85,HOCHSCHULREIFE,HOCHSCHULREIFE,MITTLERE REIFE,FACHHOCHSCHULABSCHL.,HOCHSCHULABSCHLUSS,KAUFMAENNISCHE LEHRE,,8,28,männlich
1215,1953,HAUPTBERUFL.GANZTAGS,35,2,nein,159,125,MITTLERE REIFE,HOCHSCHULREIFE,MITTLERE REIFE,LEHRE,HOCHSCHULABSCHLUSS,ANDERER ABSCHLUSS,1300,6,61,weiblich
736,1991,NICHT ERWERBSTAETIG,,1,ja,158,56,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",,8,23,weiblich
974,1991,NICHT ERWERBSTAETIG,,3,ja,150,58,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",OHNE ABSCHLUSS,LEHRE,,,,7,23,weiblich
760,1936,NICHT ERWERBSTAETIG,,2,nein,168,84,MITTLERE REIFE,,"VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",,,770,7,78,weiblich
801,1985,HAUPTBERUFL.GANZTAGS,42,6,ja,176,85,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",2000,8,29,männlich
1462,1983,HAUPTBERUFL.GANZTAGS,40,0,ja,172,80,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",,8,31,männlich
3144,1979,NICHT ERWERBSTAETIG,,1,nein,167,71,MITTLERE REIFE,,,KEIN ABSCHLUSS,"MEISTER, TECHNIKER","MEISTER, TECHNIKER",,8,35,weiblich
1600,1928,NICHT ERWERBSTAETIG,,2,nein,170,67,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,2100,8,86,weiblich
1971,1943,NICHT ERWERBSTAETIG,,3,ja,178,95,HOCHSCHULREIFE,HOCHSCHULREIFE,MITTLERE REIFE,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER",4200,8,71,männlich
1031,1995,NICHT ERWERBSTAETIG,,2,nein,165,55,HOCHSCHULREIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,KAUFMAENNISCHE LEHRE,KEIN ABSCHLUSS,350,8,19,weiblich
1476,1950,NICHT ERWERBSTAETIG,,20,nein,166,67,HOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,KAUFMAENNISCHE LEHRE,"MEISTER, TECHNIKER",500,8,64,weiblich
2057,1938,NICHT ERWERBSTAETIG,,7,ja,172,60,HOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,KEIN ABSCHLUSS,KAUFMAENNISCHE LEHRE,KAUFMAENNISCHE LEHRE,,7,76,weiblich
3450,1952,HAUPTBERUFL.GANZTAGS,40,2,nein,163,98,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,3000,10,62,weiblich
3067,1995,NICHT ERWERBSTAETIG,,1,ja,180,82,HOCHSCHULREIFE,OHNE ABSCHLUSS,"VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,KEIN ABSCHLUSS,KEIN ABSCHLUSS,,8,19,männlich
2209,1941,NICHT ERWERBSTAETIG,,1,ja,162,62,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER",,,7,73,weiblich
2728,1978,NICHT ERWERBSTAETIG,,6,ja,174,60,ANDERER ABSCHLUSS,ANDERER ABSCHLUSS,ANDERER ABSCHLUSS,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",,8,36,weiblich
2004,1974,HAUPTBERUFL.HALBTAGS,22,2,nein,158,54,MITTLERE REIFE,,HOCHSCHULREIFE,LEHRE,"GEWERBL.,LANDW.LEHRE",HOCHSCHULABSCHLUSS,,5,40,weiblich
834,1933,NICHT ERWERBSTAETIG,,3,nein,168,60,"VOLKS-,HAUPTSCHULE",,"VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",KAUFMAENNISCHE LEHRE,"GEWERBL.,LANDW.LEHRE",1500,7,81,männlich
2112,1966,HAUPTBERUFL.GANZTAGS,40,1,nein,176,86,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,"MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",1850,9,48,männlich
966,1949,HAUPTBERUFL.GANZTAGS,43,10,nein,180,82,MITTLERE REIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,LEHRE,HOCHSCHULABSCHLUSS,KAUFMAENNISCHE LEHRE,2100,8,65,männlich
146,1957,HAUPTBERUFL.GANZTAGS,40,1,ja,186,90,HOCHSCHULREIFE,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",3300,9,57,männlich
2429,1962,HAUPTBERUFL.GANZTAGS,35,3,ja,175,85,HOCHSCHULREIFE,HOCHSCHULREIFE,MITTLERE REIFE,LEHRE,HOCHSCHULABSCHLUSS,FACHHOCHSCHULABSCHL.,,5,52,weiblich
3053,1987,HAUPTBERUFL.GANZTAGS,39,0,nein,180,85,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,,,260,7,27,männlich
8,1979,HAUPTBERUFL.GANZTAGS,42,0,ja,177,92,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,850,8,35,männlich
2495,1953,NICHT ERWERBSTAETIG,,1,ja,183,89,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,1800,6,61,männlich
2736,1988,HAUPTBERUFL.GANZTAGS,40,0,ja,184,69,MITTLERE REIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1700,6,26,männlich
2856,1927,NICHT ERWERBSTAETIG,,1,nein,162,73,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,435,10,87,männlich
3071,1958,NICHT ERWERBSTAETIG,,2,nein,159,88,MITTLERE REIFE,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",2400,9,56,weiblich
1090,1993,HAUPTBERUFL.GANZTAGS,,4,nein,174,95,MITTLERE REIFE,MITTLERE REIFE,FACHHOCHSCHULREIFE,ANDERER ABSCHLUSS,FACHHOCHSCHULABSCHL.,KAUFMAENNISCHE LEHRE,1600,4,21,männlich
2784,1983,HAUPTBERUFL.GANZTAGS,45,1,ja,160,56,MITTLERE REIFE,ANDERER ABSCHLUSS,ANDERER ABSCHLUSS,LEHRE,"GEWERBL.,LANDW.LEHRE","MEISTER, TECHNIKER",1500,10,31,weiblich
1745,1979,HAUPTBERUFL.GANZTAGS,40,0,nein,173,75,MITTLERE REIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1600,8,35,männlich
1755,1964,HAUPTBERUFL.GANZTAGS,35,1,nein,171,70,MITTLERE REIFE,,,HOCHSCHULABSCHLUSS,,,2600,7,50,weiblich
95,1948,NICHT ERWERBSTAETIG,,2,ja,173,74,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",KEIN ABSCHLUSS,KEIN ABSCHLUSS,765,6,66,männlich
2349,1964,HAUPTBERUFL.HALBTAGS,20,1,nein,154,71,HOCHSCHULREIFE,,"VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,,"GEWERBL.,LANDW.LEHRE",,10,50,weiblich
2550,1953,NICHT ERWERBSTAETIG,,2,ja,163,66,"VOLKS-,HAUPTSCHULE",,,LEHRE,,,650,4,61,weiblich
2743,1976,HAUPTBERUFL.GANZTAGS,24,3,ja,168,70,FACHHOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,650,7,38,weiblich
2538,1976,HAUPTBERUFL.GANZTAGS,48,1,nein,175,72,MITTLERE REIFE,,,LEHRE,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",,6,38,männlich
623,1946,NICHT ERWERBSTAETIG,,2,nein,163,,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,KEIN ABSCHLUSS,1210,9,68,weiblich
1174,1955,HAUPTBERUFL.GANZTAGS,45,1,nein,170,65,MITTLERE REIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE",,1600,7,59,weiblich
1061,1964,HAUPTBERUFL.GANZTAGS,40,1,ja,186,136,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,FACHHOCHSCHULABSCHL.,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,3200,10,50,männlich
678,1957,HAUPTBERUFL.HALBTAGS,12,1,nein,160,75,OHNE ABSCHLUSS,,,KEIN ABSCHLUSS,,KEIN ABSCHLUSS,718,8,57,weiblich
2831,1951,NICHT ERWERBSTAETIG,,1,nein,168,70,"VOLKS-,HAUPTSCHULE",,,LEHRE,KEIN ABSCHLUSS,KEIN ABSCHLUSS,1500,9,63,männlich
2850,1982,HAUPTBERUFL.GANZTAGS,55,0,nein,177,75,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",2500,7,32,weiblich
223,1988,NICHT ERWERBSTAETIG,,1,nein,168,60,HOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE",FACHHOCHSCHULABSCHL.,1028,9,26,männlich
2040,1963,NICHT ERWERBSTAETIG,,1,nein,176,57,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","MEISTER, TECHNIKER",246,9,51,männlich
569,1986,HAUPTBERUFL.GANZTAGS,50,1,nein,174,108,MITTLERE REIFE,,"VOLKS-,HAUPTSCHULE",LEHRE,,,1250,10,28,männlich
1095,1960,HAUPTBERUFL.GANZTAGS,39,1,nein,180,87,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",,9,54,männlich
2742,1975,HAUPTBERUFL.GANZTAGS,70,0,ja,180,92,HOCHSCHULREIFE,OHNE ABSCHLUSS,ANDERER ABSCHLUSS,HOCHSCHULABSCHLUSS,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",5000,7,39,männlich
2286,1940,NICHT ERWERBSTAETIG,,3,nein,156,60,OHNE ABSCHLUSS,HOCHSCHULREIFE,OHNE ABSCHLUSS,KEIN ABSCHLUSS,FACHHOCHSCHULABSCHL.,KEIN ABSCHLUSS,,10,74,weiblich
2924,1995,HAUPTBERUFL.GANZTAGS,50,6,ja,184,65,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER",KAUFMAENNISCHE LEHRE,3000,5,19,männlich
79,1933,NICHT ERWERBSTAETIG,,2,nein,165,78,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,KEIN ABSCHLUSS,KEIN ABSCHLUSS,,10,81,weiblich
960,1964,HAUPTBERUFL.GANZTAGS,45,0,nein,189,120,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,,,2200,8,50,männlich
3383,1970,NICHT ERWERBSTAETIG,,5,nein,160,65,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,500,5,44,weiblich
1557,1982,HAUPTBERUFL.GANZTAGS,40,0,nein,186,80,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,FACHHOCHSCHULABSCHL.,1800,9,32,männlich
2023,1973,HAUPTBERUFL.GANZTAGS,50,0,nein,175,70,HOCHSCHULREIFE,,,HOCHSCHULABSCHLUSS,,,2650,8,41,weiblich
3341,1987,HAUPTBERUFL.GANZTAGS,55,0,ja,163,50,MITTLERE REIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"MEISTER, TECHNIKER",FACHHOCHSCHULABSCHL.,1000,5,27,weiblich
1064,1943,NICHT ERWERBSTAETIG,,1,nein,175,80,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",KEIN ABSCHLUSS,KEIN ABSCHLUSS,2600,8,71,männlich
2128,1975,HAUPTBERUFL.GANZTAGS,45,1,ja,172,92,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,"GEWERBL.,LANDW.LEHRE",,6000,5,39,männlich
997,1989,HAUPTBERUFL.GANZTAGS,50,0,ja,180,100,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1600,9,25,männlich
540,1940,NICHT ERWERBSTAETIG,,15,nein,172,62,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",,"GEWERBL.,LANDW.LEHRE",750,7,74,weiblich
3224,1942,NICHT ERWERBSTAETIG,,2,nein,169,74,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1800,7,72,weiblich
2588,1968,HAUPTBERUFL.GANZTAGS,40,0,ja,175,73,MITTLERE REIFE,,"VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,2400,10,46,männlich
409,1962,HAUPTBERUFL.HALBTAGS,22,1,nein,172,72,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,2000,9,52,weiblich
2788,1975,NICHT ERWERBSTAETIG,,1,ja,193,90,MITTLERE REIFE,MITTLERE REIFE,MITTLERE REIFE,"MEISTER, TECHNIKER","MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",530,5,39,männlich
2146,1927,NICHT ERWERBSTAETIG,,0,ja,173,73,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,KEIN ABSCHLUSS,KEIN ABSCHLUSS,1650,9,87,männlich
3295,1995,NICHT ERWERBSTAETIG,,2,nein,160,60,HOCHSCHULREIFE,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER",656,9,19,weiblich
2235,1983,HAUPTBERUFL.HALBTAGS,17,3,nein,165,70,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,469,6,31,weiblich
2045,1974,HAUPTBERUFL.GANZTAGS,38.5,3,ja,180,72,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",900,10,40,männlich
2587,1995,NEBENHER BERUFSTAE.,,2,nein,173,58,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",45,8,19,weiblich
2762,1994,HAUPTBERUFL.HALBTAGS,38,10,ja,168,61,MITTLERE REIFE,,,LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,1300,8,20,weiblich
3189,1974,HAUPTBERUFL.GANZTAGS,50,2,nein,175,81,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,1500,8,40,weiblich
761,1960,HAUPTBERUFL.GANZTAGS,37,2,nein,179,92,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",,KEIN ABSCHLUSS,,10,54,männlich
699,1940,NICHT ERWERBSTAETIG,,1,nein,168,71,FACHHOCHSCHULREIFE,OHNE ABSCHLUSS,"VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,KEIN ABSCHLUSS,KEIN ABSCHLUSS,867,8,74,männlich
1575,1972,HAUPTBERUFL.HALBTAGS,26,2,nein,156,54,FACHHOCHSCHULREIFE,,"VOLKS-,HAUPTSCHULE",LEHRE,,"GEWERBL.,LANDW.LEHRE",900,8,42,weiblich
3442,1988,HAUPTBERUFL.GANZTAGS,40,0,nein,179,73,MITTLERE REIFE,,,LEHRE,,,1200,4,26,männlich
115,1936,NICHT ERWERBSTAETIG,,3,nein,165,50,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,KEIN ABSCHLUSS,KEIN ABSCHLUSS,650,8,78,weiblich
3121,1979,HAUPTBERUFL.GANZTAGS,40,3,ja,165,97,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",3000,9,35,weiblich
3063,1994,NICHT ERWERBSTAETIG,,2,nein,168,90,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,,7,20,weiblich
1938,1995,HAUPTBERUFL.GANZTAGS,45,1,nein,189,145,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,LEHRE,HOCHSCHULABSCHLUSS,KAUFMAENNISCHE LEHRE,1000,9,19,männlich
276,1971,HAUPTBERUFL.HALBTAGS,12,3,ja,182,92,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,KEIN ABSCHLUSS,KEIN ABSCHLUSS,370,8,43,weiblich
1435,1975,HAUPTBERUFL.GANZTAGS,45,2,nein,172,79,MITTLERE REIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",LEHRE,"MEISTER, TECHNIKER",KEIN ABSCHLUSS,1650,7,39,männlich
2729,1980,HAUPTBERUFL.GANZTAGS,40,0,ja,162,70,MITTLERE REIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"MEISTER, TECHNIKER",FACHHOCHSCHULABSCHL.,,9,34,weiblich
952,1940,NICHT ERWERBSTAETIG,,1,nein,169,78,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,1500,8,74,weiblich
592,1965,HAUPTBERUFL.GANZTAGS,50,0,ja,170,73,HOCHSCHULREIFE,HOCHSCHULREIFE,MITTLERE REIFE,FACHHOCHSCHULABSCHL.,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,,7,49,weiblich
2897,1938,HAUPTBERUFL.GANZTAGS,55,2,ja,175,84,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,KAUFMAENNISCHE LEHRE,KEIN ABSCHLUSS,700,7,76,männlich
123,1949,NICHT ERWERBSTAETIG,,0,nein,160,71,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,KAUFMAENNISCHE LEHRE,KEIN ABSCHLUSS,1703,7,65,weiblich
